,Event,Record Attendance,Record Week,This Week
152,Beatrixpark,185,29/05/2023,50
153,Beaufort Lake,59,27/08/2022,12
154,Beaumont Park juniors,100,02/07/2023,23
155,Beckenham Place,426,10/06/2023,205
156,Beckenham Place juniors,78,14/05/2023,32
157,Beckton,159,22/04/2017,49
158,Bedfont Lakes,314,03/09/2016,86
159,Bedford,613,18/01/2020,305
160,Bedford juniors,116,21/05/2017,44
161,Bedgebury Pinetum,380,04/01/2020,135
162,Bedworth,379,15/02/2020,
163,Beechpark juniors,114,12/09/2021,60
164,Beehive juniors,165,07/05/2017,47
165,Beeston,630,18/01/2020,273
166,Bega,148,26/03/2016,52
167,Belfast Victoria,431,01/01/2020,258
168,Belfast Victoria juniors,80,22/05/2022,57
169,Bellerive,412,01/01/2020,328
170,Bellevue,44,15/07/2017,13
171,Bellevue Park juniors,110,28/02/2021,35
172,Bells Parade,188,06/08/2022,60
173,Bellville,1607,20/01/2018,654
174,Belton House,591,01/01/2019,243
175,Belvoir Castle,313,22/01/2022,93
176,Benalla Botanical Gardens,151,09/11/2019,48
177,Bendigo Botanic Gardens,160,24/12/2022,72
178,Bere Island,181,08/08/2015,26
179,Berkeley Green,274,01/02/2020,116
180,Berrinba,395,01/01/2020,157
181,Berwick Springs,404,01/01/2019,159
182,Berwick Waters,204,09/11/2019,77
183,Berwyn,204,05/03/2022,70
184,Bestwood Village,406,01/01/2020,112
185,Bethlehem,274,09/09/2017,69
186,Bethlem Royal Hospital,280,22/06/2019,48
187,Betteshanger juniors,54,21/05/2017,21
188,Betty’s Bay,537,29/12/2018,164
189,Bevendean Down,158,01/01/2023,29
190,Beverley Westwood,419,13/07/2019,167
191,Bexley,727,01/01/2020,
192,Bezuidenhout,412,27/01/2018,134
193,Białystok,98,24/06/2023,62
194,Bibra Lake,396,25/01/2020,263
195,Bicester,682,29/07/2023,169
196,Bickershaw,23,06/04/2019,4
197,Bideford,277,01/01/2019,95
198,Big Bay,762,23/01/2016,293
199,Bill Rose Sports Complex,238,31/08/2019,18
200,Bill Thorpe Walking Bridge,69,13/11/2021,32
201,Billdalsparken,221,06/06/2023,39
202,Billericay,502,23/03/2019,
203,Billingham juniors,35,29/04/2018,8
204,Birchwood Trails,24,29/07/2023,18
205,Birdsland Reserve,170,11/01/2020,94
206,Birkenhead,793,18/01/2020,512
207,Bishan,150,01/01/2019,98
208,Black Combe,63,24/06/2023,37
209,Black Park,888,18/01/2020,364
210,Blackbutt,538,03/08/2013,163
211,Blackhill,143,24/12/2016,72
212,Blackpool,695,01/01/2020,262
213,Blaise Castle,582,20/05/2023,153
214,Blandford,312,04/01/2020,163
215,Blenheim,93,31/12/2022,61
216,Blickling,558,01/01/2018,197
217,Blickling juniors,64,30/01/2022,30
218,Bloxwich juniors,102,02/07/2023,33
219,Blue Gum Hills,163,06/09/2014,85
220,Blue Lagoon,258,30/03/2019,45
221,Blyth Links,724,01/01/2020,
222,Błonie,117,24/06/2023,30
223,"Błonie, Krotoszyn",116,06/05/2023,34
224,Bodington juniors,126,05/01/2020,85
225,Bodmin juniors,73,17/09/2017,19
226,Bognor Regis,442,01/01/2020,
227,Bognor Regis juniors,151,03/06/2018,
228,Bois de Boulogne,206,13/04/2019,
229,Boksburg,1523,20/01/2018,270
230,Bolberry Down,254,26/08/2023,
231,Bolton,472,09/06/2018,223
232,Borrisokane Town,160,01/02/2020,6
233,Bosmont Stadium,308,16/03/2019,84
234,Boston,234,20/04/2019,129
235,Boston Road Rec juniors,118,19/01/2020,18
236,Botanical Garden,2263,19/01/2019,733
237,Bourke Racecourse,57,09/11/2019,28
238,Bournemouth,967,01/01/2020,303
239,Bowen,152,11/03/2023,29
240,Bower Park,108,23/09/2023,21
241,Bowling Park,261,29/02/2020,79
242,Brabrand,90,11/05/2013,44
243,Bracknell,469,11/06/2016,
244,Bracknell juniors,227,13/01/2019,
245,Braidwood Showground,183,22/09/2018,
246,Brakpan,545,21/04/2018,13
247,Bramhall Park,726,21/12/2019,299
248,Bramley,309,01/01/2018,108
249,Bramley juniors,64,29/10/2017,28
250,Bramshall Road,161,28/05/2022,
251,Brandkop,570,18/01/2020,216
252,Brandon Country Park,457,01/01/2020,66
253,Brauhaus Afrika,228,03/09/2022,88
254,Braunstone,891,01/01/2020,302
255,Bray juniors,93,05/02/2017,61
256,Brayton Academy juniors,87,27/06/2021,14
257,Breakwater,100,03/06/2023,27
258,Breckland Leisure Centre juniors,75,27/10/2019,20
259,Bredasdorp,179,20/10/2018,53
260,Breede Valley,366,15/02/2020,141
261,Brentwood,226,24/08/2019,63
262,Bressay,94,19/01/2019,33
263,Bretton Park juniors,21,28/08/2022,6
264,Brickfields,190,06/01/2018,72
265,Bridgend juniors,168,04/06/2023,121
266,Bridgetown,515,28/01/2017,65
267,Brierley Forest,373,01/01/2019,168
268,Brighouse,507,31/08/2019,193
269,Brighouse juniors,83,21/07/2019,26
270,Bright,246,27/01/2018,106
271,Brighton & Hove,859,01/01/2020,447
272,Brightwater,398,01/01/2020,223
273,Brimbank,350,19/08/2017,89
274,Brisbane Valley Rail Trail,199,14/01/2023,23
275,Brixworth Country,311,11/01/2020,95
276,Broad Park,261,25/02/2023,118
277,Broadbeach Waters,206,10/04/2021,99
278,Broadmeadow juniors,126,16/09/2018,64
279,Broadwater,289,19/08/2023,188
280,Brockenhurst,389,20/04/2019,194
281,Brockwell,687,11/01/2020,277
282,Brockwell juniors,149,19/01/2020,48
283,Broken Hill Racecourse,84,20/02/2021,28
284,Bromley,942,31/08/2019,437
285,Bromley juniors,240,19/05/2019,87
286,Bromsgrove juniors,206,15/05/2016,63
287,Bronberrik,897,01/04/2017,220
288,Bronkhorstspruit,167,16/02/2019,35
289,Brooklands,431,28/10/2023,413
290,Broparken,47,06/05/2023,
291,Brueton,749,19/01/2019,246
292,Brumby Wood Rec Ground juniors,212,26/01/2020,22
293,Brundall,274,01/01/2019,92
294,Bryanston,1753,20/01/2018,728
295,Bryn Bach,481,01/01/2020,86
296,Bryn Bach juniors,78,09/10/2016,20
297,Brynaman,110,19/10/2019,33
298,Buckingham,423,29/02/2020,
299,Buckingham juniors,110,13/05/2018,30
300,Bude Marshes juniors,54,13/08/2023,13
301,Bugasee,68,25/01/2020,16
302,Bulwar nad Wisłą,87,17/06/2023,25
303,Bunbury,172,28/10/2023,117
304,Buncrana,157,17/08/2019,75
305,Bundaberg,264,11/02/2017,64
306,Bunyaville,270,03/12/2016,110
307,Burgess,884,18/01/2020,456
308,Burgess juniors,50,23/05/2021,26
309,Burgess juniors,50,26/09/2021,26
310,Burley Griffin,659,25/12/2020,307
311,Burnage,267,09/09/2023,202
312,Burnham and Highbridge,589,20/04/2019,316
313,Burnham Riverside juniors,112,24/04/2022,17
314,Burnham-on-Crouch,179,22/07/2017,60
315,Burnie,240,09/06/2018,173
316,Burnley,799,26/08/2023,399
317,Burnley juniors,124,24/09/2017,81
318,Burslem Park juniors,59,30/06/2019,37
319,Burswood Peninsula,364,01/01/2020,110
320,Bury Field,205,20/11/2021,38
321,Bury St Edmunds,395,29/04/2017,153
322,Bury St Edmunds juniors,128,21/05/2017,38
323,Bushy juniors,432,06/10/2013,131
324,Bushy Park,2545,25/12/2019,1036
325,"Bushy, Dublin",440,08/02/2020,135
326,Butter Trail,33,12/08/2023,7
327,Bydgoszcz,105,13/01/2018,48
328,Byxbee,147,01/04/2023,102
329,Cabinteely,402,28/04/2018,114
330,Caffarella,153,18/03/2023,74
331,Cairns,395,23/01/2021,291
332,Calamvale,383,15/11/2014,142
333,Caledon Golf Course,118,22/04/2023,50
334,Caledonian juniors,43,08/10/2023,26
335,Calembeen,143,14/01/2023,22
336,California Country,495,01/01/2020,179
337,Calleya,129,07/03/2020,47
338,Calne Recreation Ground juniors,62,29/05/2022,29
339,Cambourne juniors,81,10/10/2021,
340,Cambourne juniors,81,17/10/2021,
341,Cambridge juniors,255,21/05/2017,77
342,Cambridge NZ,170,01/01/2019,100
343,Campaspe,279,02/11/2019,77
344,Campbelltown,286,29/02/2020,131
345,Camperdown,708,12/11/2022,
346,Cannibals Cave,119,28/03/2015,32
347,Canning River,373,06/04/2019,120
348,Cannock Chase,591,11/01/2020,228
349,Cannon Hill,1118,04/05/2019,382
350,Cannon Hill juniors,188,14/05/2017,52
351,Canons Park,290,25/12/2019,89
352,Canterbury,321,01/01/2020,74
353,Canton Lower Rouge Trail,50,13/05/2023,19
354,Canyon Rim Trail,68,30/09/2023,25
355,Capalaba,481,01/01/2020,177
356,Cape Agulhas,114,12/08/2023,72
357,Cape Pembroke Lighthouse,170,26/10/2019,30
358,Cardiff,1192,17/02/2018,485
359,Cardiff juniors,249,17/05/2015,132
360,Cardwell,80,17/03/2018,15
361,Carine Glades,382,30/09/2023,276
362,Carisbrooke,280,01/01/2020,130
363,Carlingwark Loch,127,28/10/2023,114
364,Carlisle,382,09/06/2018,178
365,Carlisle juniors,147,30/10/2016,
366,Carlisle Park,181,14/08/2021,96
367,Carlow Town,129,15/09/2018,48
368,Carmarthen juniors,76,28/05/2017,
369,Carnival City,519,27/04/2023,276
370,Carrickfergus,174,29/07/2017,81
371,Cascades on Clyde Wetlands,70,13/03/2021,32
372,Cassiobury,754,18/01/2020,296
373,Cassiobury juniors,85,21/05/2023,46
374,Castle Park,515,08/02/2020,185
375,Castle Playing Fields juniors,29,13/11/2022,11
376,Castlebar,190,14/01/2017,76
377,Castleblayney,76,19/01/2019,42
378,Castlehaven,124,23/01/2016,32
379,Castlemaine,187,01/01/2018,102
380,Castlerea,93,15/04/2017,32
381,Castletown,374,12/01/2019,
382,Castlewellan,567,23/09/2017,155
383,Casula Parklands,133,06/02/2021,47
384,Catford,318,11/01/2020,139
385,Catton,715,01/01/2019,270
386,Centenary,64,28/11/2020,6
387,Centennial,483,11/02/2023,361
388,Central Burnaby,154,09/09/2023,53
389,Central Lakes,207,22/02/2020,113
390,Central Park juniors,129,15/10/2017,44
391,"Central Park juniors, Boston",53,21/11/2021,
392,"Central, Plymouth",424,25/02/2023,373
393,Centre Vale,261,30/03/2019,127
394,Century City,1667,20/01/2018,637
395,Ceres,303,14/04/2018,83
396,Chadderton Hall,281,01/01/2020,93
397,Chaffey Park,54,09/04/2022,9
398,Chain of Lakes,117,08/04/2023,75
399,Chalkwell Beach,440,29/07/2023,224
400,Champion Lakes,148,01/01/2020,85
401,Charleston,112,12/08/2023,60
402,"Charleston, South Australia",120,05/10/2019,32
403,Charleys Creek,149,29/06/2019,45
404,Charlton,331,02/10/2021,109
405,Charters Towers Airport,66,25/03/2023,23
406,Charzykowy,101,17/02/2018,20
407,Chasewater,710,01/01/2020,152
408,Château de Pierre de Bresse,53,27/07/2019,
409,Cheadle Hulme,214,28/06/2014,16
410,Cheddar juniors,71,17/07/2016,26
411,Chelmsford Central,1090,28/10/2023,
412,Chelmsford juniors,300,02/07/2017,78
413,Chelsea Bicentennial,388,06/08/2016,301
414,Cheltenham,723,12/05/2018,270
415,Cheltenham juniors,217,21/05/2017,
416,Chełm,37,30/06/2018,3
417,Chermside,372,01/01/2017,283
418,Cherry Orchard juniors,62,08/03/2020,15
