,Event,Record Attendance,Record Week,This Week
663,Duthie juniors,252,29/04/2018,102
664,Działdowo,115,12/08/2023,14
665,Dzierzgoń,88,10/11/2018,20
666,Eagan,98,14/08/2021,35
667,East Brighton,181,19/03/2022,58
668,East Coast Brewery,331,06/11/2021,106
669,East Coast Park,236,23/09/2023,166
670,East End,165,08/04/2023,125
671,East Grinstead,361,09/09/2017,56
672,East Park,192,28/01/2023,102
673,East Richmond,396,04/11/2017,141
674,Eastbourne,490,04/01/2020,
675,Eastbourne juniors,124,06/05/2018,
676,Eastern Gardens,329,25/08/2018,88
677,"Eastern Trail, Biddeford",35,02/09/2023,6
678,Eastleigh,451,30/06/2018,
679,Eastney juniors,124,10/05/2015,111
680,Eastville,941,01/01/2019,509
681,Eastville juniors,84,02/04/2017,31
682,Eaton juniors,244,26/02/2017,116
683,Ebenberg,155,09/09/2023,42
684,Ebotse,1389,20/01/2018,301
685,Ecco Ripley,298,24/07/2021,59
686,Echuca Moama,231,06/05/2017,112
687,Ecos,273,08/06/2019,265
688,Ed Austin Regional,56,24/06/2023,28
689,Ed Austin Regional,56,19/08/2023,28
690,Eden Project,588,05/08/2023,259
691,Edenbrook Country,493,07/05/2022,
692,Edenvale,577,25/08/2018,91
693,Edgbaston Reservoir,371,06/08/2022,170
694,Edgbaston Reservoir juniors,18,15/10/2023,8
695,Edgbaston Reservoir juniors,18,22/10/2023,8
696,Edinburgh,968,25/12/2019,547
697,Edinburgh Oval,322,01/02/2020,80
698,Edithburgh,88,31/12/2022,19
699,Edwin Carolan Community,99,23/10/2021,20
700,Eglinton,259,12/01/2019,111
701,Egweni River Lodge,142,09/10/2021,36
702,Ekebergsletta,190,01/05/2023,20
703,Ekomarina,27,08/07/2023,12
704,Elder Park,198,21/01/2023,102
705,Elder Park juniors,33,19/09/2021,9
706,Eldorado Park,681,15/01/2022,93
707,Elgin,296,21/08/2021,176
708,Ellesmere Port,235,01/01/2020,64
709,Elliott Heads Beach,146,07/05/2022,47
710,Ellon,285,17/08/2019,112
711,Eltham juniors,130,15/09/2019,66
712,Ely Country juniors,136,30/01/2022,32
713,Ełk,64,16/09/2023,22
714,Emerald,304,06/04/2019,101
715,Emmerwiesen,44,17/06/2023,10
716,Endcliffe,884,04/05/2019,697
717,Enfield Town juniors,106,08/03/2020,53
718,Ennerdale Stadium,130,25/03/2023,38
719,Enniskillen,211,02/01/2016,99
720,Epworth Equestrian,212,12/08/2023,35
721,Eramosa River Trail,165,06/05/2023,126
722,Erddig,371,09/06/2018,92
723,Ernest Ullmann,662,19/01/2019,172
724,Erris,182,29/04/2023,36
725,Erskine Waterfront,267,19/11/2022,83
726,ESBA,29,27/05/2023,9
727,Esbjerg,70,12/02/2011,34
728,Etna,61,02/06/2018,27
729,Euroa,151,19/05/2018,53
730,Evergreen,51,12/08/2023,21
731,Evesham,366,09/03/2019,72
732,Evesham juniors,63,05/05/2019,
733,Exeter Riverside,558,11/01/2020,420
734,Exmouth,710,23/12/2017,
735,Exploration Place,364,19/08/2023,73
736,Eyemouth Primary Playing Fields juniors,26,14/08/2022,10
737,Eyemouth Primary Playing Fields juniors,26,28/08/2022,10
738,Eynesbury Heritage Trail juniors,47,31/01/2021,11
739,Fairview,276,15/07/2017,112
740,Falcarragh,221,15/04/2017,85
741,Falkirk,571,07/09/2019,245
742,Falls,218,25/05/2013,49
743,Fareham,484,01/01/2020,146
744,Farfalle,62,25/02/2023,25
745,Faskally Forest,128,07/03/2020,58
746,Father Collins,437,01/01/2019,108
747,Faversham Recreation Ground juniors,94,23/05/2021,28
748,Favorita,78,09/06/2018,17
749,Fælledparken,269,01/01/2020,109
750,Felixstowe,888,01/01/2020,210
751,Felixstowe Prom juniors,53,25/08/2019,23
752,Fell Foot,417,20/04/2019,175
753,Feltham,90,22/10/2022,
754,Fenit Greenway,206,04/11/2023,206
755,Ferry Meadows,762,12/01/2019,469
756,Ferryvale,148,01/01/2020,37
757,Festningen,92,13/08/2022,35
758,Fethard Town,121,28/01/2023,68
759,Ficksburg,94,23/02/2019,26
760,Fife Cycle Park juniors,50,19/06/2022,9
761,Fig Tree,344,04/11/2023,344
762,Figges Marsh juniors,75,20/03/2022,19
763,Fingal Bay,375,08/04/2023,136
764,Finsbury Park,969,11/01/2020,
765,Fish Hoek,482,19/01/2019,185
766,Five Arches,244,28/10/2023,142
767,Flatts Lane,174,16/09/2017,33
768,Flaxmere,144,15/06/2019,108
769,Fleetwood Promenade,222,06/07/2019,132
770,Flegg High,66,16/07/2022,38
771,Fletcher Moss,497,18/01/2020,278
772,Fletcher’s Cove,302,28/10/2023,49
773,Florence Park juniors,108,01/10/2023,98
774,Florence Park juniors,108,29/10/2023,98
775,Fodder Forest,282,16/10/2021,65
776,Folkestone,450,08/04/2023,146
777,Fontainebleau,48,08/12/2018,
778,Foots Cray Meadows,307,13/04/2019,46
779,Ford,143,01/09/2018,95
780,Forest Lake,559,17/03/2018,117
781,Forest of Dean,378,01/01/2020,57
782,Forest of Dean juniors,100,26/05/2019,34
783,Forest Rec,738,25/12/2018,176
784,Forest Rec juniors,57,05/01/2020,28
785,Forfar Loch,268,11/02/2023,
786,Foro Italico,77,01/02/2020,39
787,Forster,313,08/04/2023,118
788,Forster Memorial Park juniors,74,24/09/2023,41
789,Fort V Włochy,153,17/06/2023,34
790,Fort Ward,49,07/01/2023,28
791,Fort William,132,27/07/2019,20
792,Foster,205,27/10/2018,170
793,Fountains Abbey,636,20/04/2019,475
794,Frank Keenan Reserve,123,08/04/2023,70
795,Frankston Nature Conservation Reserve,211,07/01/2023,105
796,Franschhoek,332,12/03/2016,
797,Freckleton Road,20,03/12/2022,
798,Freckleton Road,20,31/12/2022,
799,Frédéric Back,107,17/08/2019,77
800,Friary Park juniors,149,19/05/2019,81
801,Frickley Country,308,05/01/2019,46
802,Friedrichsau,29,26/03/2022,16
803,Frimley Lodge,765,21/09/2019,300
804,Frog Hollow,327,25/12/2019,70
805,Frogmary Green Farm,316,07/05/2022,146
806,Fukakitaryokuchi,80,22/06/2019,49
807,Fulbourn Hospital,208,11/01/2020,75
808,Fuldaaue,61,10/09/2022,36
809,Fulham Palace,810,11/01/2020,
810,Fulham Palace,810,18/01/2020,
811,Furzefield Leisure Centre juniors,55,08/10/2023,38
812,Furzefield Leisure Centre juniors,55,15/10/2023,38
813,Futakotamagawa,343,06/04/2019,101
814,Gadebridge,256,21/09/2019,97
815,Gadebridge Park juniors,30,08/05/2022,13
816,Gadebridge Park juniors,30,22/05/2022,13
817,Gadebridge Park juniors,30,01/10/2023,13
818,Gainsborough Greens,255,01/01/2019,71
819,Galston,250,08/10/2016,188
820,Ganavan Sands,104,23/09/2017,42
821,Ganger Farm,369,19/11/2022,111
822,Gardenhurst Estate juniors,42,25/04/2021,18
823,Gardiners Creek,473,28/10/2023,382
824,Garvagh Forest,110,19/08/2023,21
825,Garvey Park,195,21/11/2020,38
826,Gateshead,401,29/02/2020,
827,Gatton,246,30/03/2019,170
828,Gawler,191,15/02/2020,116
829,Gawler,191,29/02/2020,116
830,Gayndah River Walk,76,06/02/2021,15
831,Gdańsk,293,28/01/2023,92
832,Gdańsk-Południe,321,02/09/2023,87
833,Gdynia,472,05/11/2022,94
834,GEC Rec juniors,121,15/09/2019,60
835,Gedling,569,01/01/2020,186
836,Gedling juniors,100,22/05/2016,52
837,Geeveston,83,21/07/2018,35
838,Geographe Bay,206,08/04/2023,139
839,George,1233,28/12/2019,397
840,George Lane Memorial,36,02/09/2023,13
841,George Town,104,14/10/2017,28
842,Georgengarten,218,28/01/2023,139
843,Gillies Lake,34,08/06/2019,16
844,Gilloolys,2389,03/08/2019,391
845,Ginninderra,374,02/02/2019,323
846,Girvan Prom,71,01/01/2020,34
847,Gisborne,131,23/09/2023,71
848,Gladstone,341,01/02/2020,163
849,Gladstone QLD,184,04/03/2023,114
850,Gladstone QLD,184,22/04/2023,114
851,Glass House Mountains Conservation,93,27/04/2019,30
852,Glen River,255,01/01/2020,59
853,Glengarriff,202,23/01/2016,57
854,Glenoma,203,04/11/2023,203
855,Globe,55,28/09/2019,28
856,Glossop,215,01/01/2020,
857,Gloucester City,551,01/01/2020,120
858,Gloucester District,463,25/01/2020,41
859,Gloucester North,218,02/02/2019,67
860,Głogów,54,30/09/2017,15
861,Gnoll,245,04/01/2020,90
862,Gnoll juniors,80,02/07/2017,
863,Goffert,75,29/05/2023,31
864,Golden Beach,423,02/01/2021,261
865,Golden Harvest,1503,20/01/2018,566
866,Golden Valley Playing Field juniors,104,01/10/2023,65
867,Goldfields Reservoir,137,26/10/2019,33
868,Gongendo 2gou kouen,65,13/05/2023,31
869,Goole,238,25/05/2019,154
870,Goolwa,199,08/04/2023,69
871,Goondiwindi,137,10/06/2017,59
872,Gordon Park juniors,101,09/07/2023,64
873,Gordon Spratt Reserve,122,08/07/2023,61
874,Gorey,197,21/01/2017,64
875,Gorleston Cliffs,585,20/04/2019,260
876,Gorleston juniors,141,22/05/2016,44
877,Gorzów Wielkopolski,127,01/10/2022,95
878,Gostyń,88,10/12/2016,18
879,Goudhurst juniors,45,07/06/2015,16
880,Goulburn,456,10/02/2018,56
881,"Goulburn River Trail, Seymour",92,28/10/2023,72
882,Gracepoint,152,12/02/2022,50
883,Grafton,168,13/02/2016,74
884,Graham Andrews,72,25/05/2019,33
885,Grahamstown,338,03/02/2018,58
886,Grand Ridge Rail Trail,297,27/04/2019,28
887,Grange Paddocks juniors,133,13/01/2019,82
888,Grangemoor,332,29/02/2020,151
889,Graves,446,01/01/2020,205
890,Graves juniors,188,19/11/2017,127
891,Gravesend juniors,68,01/02/2015,22
892,Great Cornard,233,05/01/2019,
893,Great Cornard juniors,141,29/05/2016,
894,Great Denham,547,01/01/2020,219
895,Great Dunmow,261,14/04/2018,
896,Great Lines,564,12/01/2019,200
897,Great Notley,384,25/05/2019,139
898,Great Notley juniors,127,13/01/2019,46
899,Great Salterns,238,22/01/2022,43
900,Great Yarmouth North Beach,160,08/02/2020,64
901,Greenbank,251,05/08/2017,110
902,Greenfield Valley,129,14/03/2020,58
903,Greenock,210,02/03/2019,112
904,Greenpoint,1288,12/01/2019,400
905,Greenstone Hill,442,25/12/2019,102
906,GreenWay,357,21/01/2023,288
907,Greenwich,467,01/01/2020,190
908,Greytown Woodside Trail,106,21/01/2023,46
909,Griffeen,345,27/01/2018,191
910,Griffeen juniors,305,03/04/2022,61
911,Grodzisk Mazowiecki,136,09/07/2022,32
912,Groe,277,20/04/2019,65
913,Groene Ster,33,30/09/2023,15
914,Groeneweide,491,28/12/2019,63
915,Grove Fields,209,14/10/2023,
916,Grovelands,430,01/01/2020,161
917,Grudziądz,422,23/09/2023,111
918,Grüner Weg,40,13/05/2023,4
919,Guernsey,256,31/10/2020,
920,Guildford,670,04/05/2019,
921,Guildford juniors,245,21/05/2017,
922,Gungahlin,599,01/01/2019,267
923,Gunnersbury,766,18/01/2020,412
924,Gunpowder,479,05/11/2022,156
925,Guysborough Nature Trail,21,07/10/2023,7
926,Gyodashi sogokoen,48,12/11/2022,16
927,Hackney Marshes,677,18/01/2020,210
928,Hackworth,242,14/02/2015,64
929,Hadleigh,320,25/12/2019,72
930,Hafan Pwllheli,205,24/08/2019,46
931,Haga,242,15/04/2023,72
932,Hagley,582,18/02/2023,546
933,Haigh Woodland,426,18/01/2020,199
934,Haldon Forest,853,01/01/2020,
935,Halifax,292,05/02/2022,131
936,Halls,621,18/01/2020,200
937,Hamilton,123,10/10/2015,65
938,Hamilton Island,104,01/05/2021,12
939,Hamilton Lake,305,12/09/2015,208
940,Hamilton Park,65,31/12/2022,22
941,Hamilton Park,65,17/06/2023,22
942,Hampstead Heath,580,18/01/2020,279
943,Hampton Oval,61,08/05/2021,13
944,Hamsterley Forest,88,01/01/2022,74
945,Hamsterley Forest,88,05/11/2022,74
946,Hanley,507,01/01/2020,133
947,Hanworth,166,04/05/2019,53
948,Hanworth juniors,91,07/07/2019,16
949,Harayama koen,34,22/04/2023,25
950,Harcourt Hill,518,18/01/2020,78
951,Harcourt Hill juniors,143,06/10/2019,43
952,Harkerville,680,28/12/2019,140
953,Harleston Magpies,119,08/04/2023,57
954,Harlow,416,08/02/2020,169
955,Harlow juniors,119,11/06/2017,
956,Harmony Boulevard,173,05/08/2023,79
957,Harris Avenue,342,31/08/2019,102
958,Harrismith,121,03/09/2016,55
959,Harrogate,625,02/03/2019,304
960,Harrogate juniors,212,20/03/2022,78
961,Harrow,358,18/01/2020,185
962,Harrow Lodge,373,01/01/2020,100
963,Harrow Lodge juniors,109,24/02/2019,63
964,Hart & Bosch Village,556,31/12/2022,236
965,Hartlepool,288,26/04/2014,161
966,Hartstown,167,01/01/2019,64
967,Harwich,235,01/01/2020,85
968,Hasenheide,733,28/09/2019,143
969,Hastings,492,08/04/2023,
970,Hastings Foreshore,246,01/01/2020,112
971,Hastings High School,232,14/05/2022,91
972,Havant,366,11/03/2017,163
973,Havelkanal,187,03/10/2023,14
974,Haverfordwest,197,01/01/2020,50
975,Haverhill,137,01/01/2019,27
976,Hawkwell juniors,164,12/05/2019,47
977,Hay Lodge,179,21/05/2022,81
978,Haywards Heath juniors,245,30/09/2018,67
979,Hazeldean Farm,575,01/01/2020,312
980,Hazelmere Dam,106,02/09/2023,40
981,Hazelwood,315,19/02/2022,63
982,Hazlehead,431,01/01/2020,168
983,Hazyview,165,11/08/2018,84
984,Hazyview,165,08/07/2023,84
985,Heartlands,313,01/01/2019,
986,Heaton Park,1112,18/01/2020,688
987,Heavitree juniors,127,11/09/2016,109
988,Heidedal,222,20/05/2017,57
989,Heijo kyuseki Rekishi koen,43,15/10/2022,29
990,Helix juniors,145,29/10/2017,72
991,Hellbrunn,75,30/09/2023,22
992,Hemlington Lake juniors,139,21/05/2017,28
993,Henderson Lake,98,30/03/2019,44
994,"Henley Wood, Oswestry",202,27/10/2018,55
995,Henley-on-Thames,175,01/07/2017,42
996,Henlow Bridge Lakes,181,09/10/2021,78
997,Henry Kendall Reserve,140,05/02/2022,58
998,Hereford,330,20/04/2019,111
999,Hereford Leisure Centre juniors,75,26/06/2022,40
1000,Heritage Harbor,65,08/10/2022,18
1001,Heritage Park juniors,107,09/09/2018,40
1002,Hermanus,789,28/12/2019,
1003,Herne Bay Memorial Park juniors,45,27/02/2022,24
1004,Herrington Country,769,01/01/2020,206
1005,Hertford juniors,137,16/04/2023,91
1006,Hervey Bay,615,23/02/2019,283
1007,Heslington,757,01/01/2020,301
1008,"Higginson, Marlow",283,18/08/2018,
1009,Highbury Fields,579,18/01/2020,375
1010,Highbury Fields juniors,132,12/01/2020,68
1011,Highfields,255,01/01/2020,57
1012,Highlands,281,02/02/2019,73
1013,Highwoods,372,03/06/2023,57
1014,Hikarigaoka koen,125,04/03/2023,67
1015,Hillsborough,750,01/01/2020,465
1016,Hillsborough Forest,197,12/08/2023,147
1017,Hillsborough juniors,195,09/07/2023,90
1018,Hillside,548,11/01/2020,150
1019,Hilltop,35,24/08/2019,17
1020,Hilly Fields,453,11/01/2020,195
1021,Hilly Fields juniors,273,23/06/2019,87
1022,Hilton,953,29/09/2018,106
1023,Himmel,66,16/11/2019,61
1024,Hirono kaigankoen,126,10/09/2022,53
1025,Hluhluwe,105,28/09/2019,29
1026,Hoblingwell,240,07/04/2018,50
1027,Hoblingwell juniors,71,23/06/2019,37
1028,Hobsonville Point,311,01/01/2020,269
1029,Hockgraben,125,01/07/2023,26
1030,Hockley Woods,493,01/01/2019,67
1031,Hoedspruit,230,03/03/2018,63
1032,Hoërskool Ben Viljoen,68,13/05/2023,28
1033,Hogmoor Inclosure,432,01/01/2020,197
1034,Hogmoor Inclosure juniors,130,02/02/2020,84
1035,Hogsback,128,02/04/2016,11
1036,Holbrooks,169,26/08/2023,98
1037,Holkham,675,01/01/2020,132
1038,Holy Cross College,190,15/06/2019,59
1039,Holyrood,629,19/08/2023,463
1040,Homestead,277,16/10/2021,71
1041,Homestead Lake,849,01/01/2020,239
1042,Homewood,235,18/01/2020,108
1043,Hondajima,103,23/09/2023,16
1044,Hopkins Land,73,05/08/2023,26
1045,Horinouchi koen,99,28/09/2019,
1046,Horseshoe Bay Reserve,158,10/06/2023,35
1047,Horsforth Hall juniors,158,10/07/2022,53
1048,Horsham,655,16/06/2018,221
1049,Horsham juniors,213,14/07/2019,93
1050,Horspath,267,08/01/2022,
1051,Horton Park,202,01/01/2020,47
1052,Houghton Hall,433,01/01/2020,159
1053,Houghton Hall juniors,62,28/01/2018,37
1054,Hout Bay,600,14/10/2017,48
1055,Hove Park juniors,179,14/07/2019,145
1056,Hove Park juniors,179,17/09/2023,145
1057,Hove Promenade,833,01/01/2020,
1058,Howard Temin Lakeshore Path,49,21/10/2023,35
1059,Hucknall juniors,92,24/03/2019,28
1060,Huddersfield,1008,01/01/2020,646
1061,Huddersfield juniors,208,18/06/2017,67
1062,Huddinge,99,06/06/2023,9
1063,Huddle,489,03/06/2023,177
1064,Hull,857,19/01/2019,498
1065,Humber Bridge,580,01/01/2019,66
1066,Hunstanton Promenade,294,01/01/2020,86
1067,Huntingdon,565,02/07/2016,187
1068,Huskisson,478,13/01/2018,
1069,Hutton Recreation Ground juniors,90,07/05/2023,32
1070,Hyde,350,06/01/2018,185
1071,Hyde juniors,77,12/05/2019,68
1072,Hyndburn,314,21/10/2017,193
1073,Ifield Mill Pond,228,15/04/2023,99
1074,Illaunmanagh,148,26/03/2022,71
1075,Inch Beach,197,19/05/2018,49
1076,Inibos,230,28/01/2023,157
1077,Inis Meáin,261,29/07/2023,3
1078,Invercargill,218,01/02/2020,135
1079,Inverell,163,09/02/2019,77
1080,Inverleith juniors,174,04/06/2017,42
1081,Inverloch,302,28/12/2019,160
1082,Ipswich,590,18/01/2020,150
1083,Ipswich juniors,168,17/04/2016,
1084,Ipswich QLD,320,15/02/2020,148
1085,Irchester Country,472,01/01/2020,277
1086,Isabel Trail,347,09/03/2019,
1087,Isabel Trail,347,25/05/2019,
1088,ITC Community Sports,57,22/07/2023,13
1089,Itchen Valley Country,322,28/08/2021,99
1090,Jabłonna,125,29/07/2023,56
1091,Jacks Road juniors,69,04/03/2018,12
1092,Jacobsdal,186,25/11/2017,4
1093,Jakes Point,41,07/10/2023,24
1094,Jamaica Pond,363,16/04/2022,136
1095,Jamestown Golf Course,102,05/02/2022,15
1096,Jarrahdale Heritage,106,25/03/2023,27
1097,Jeffreys Bay,619,28/12/2019,128
1098,Jelenia Góra,62,15/07/2017,14
1099,Jells,353,27/06/2015,243
1100,Jerrabomberra Mountain Reserve,240,01/01/2023,64
1101,Jersey,558,03/08/2019,
1102,Jersey Farm,344,09/09/2023,167
1103,Jesmond Dene,440,09/09/2023,201
1104,Jezioro Górne,46,27/10/2018,31
1105,Jezioro Swarzędzkie,135,06/05/2023,67
1106,Jezioro Zatorze,81,16/07/2022,23
1107,JFC Naples,29,07/10/2023,8
1108,Jindabyne,140,03/04/2021,
1109,Jock Trail,117,01/10/2022,37
1110,Joe Creason,137,05/08/2023,32
1111,Jordanstown juniors,100,12/11/2017,57
1112,Jubilee,289,19/10/2019,57
1113,Jubilee juniors,145,11/06/2017,39
1114,Jubilee Way,335,14/03/2020,185
1115,Jurien Bay Foreshore,77,12/11/2022,21
1116,Kadina Trail,247,26/10/2019,70
1117,Kagerzoom,177,29/05/2023,53
1118,Kalgoorlie-Boulder,237,22/02/2014,89
1119,Kalisz,265,28/10/2023,93
1120,Kamay,150,25/11/2017,85
1121,Kameeldoring,225,18/01/2020,21
1122,Kanata,60,28/07/2018,38
1123,Kanata,60,16/09/2023,38
1124,Kangaroo Island,158,22/02/2020,19
1125,Kapiti Coast,205,24/01/2015,82
1126,Karkarook,384,22/04/2023,372
1127,Karoola Park,109,02/04/2022,20
1128,Karpendonkse Plas,160,29/02/2020,54
1129,Kashiwanoha,116,08/06/2019,45
1130,Kastanienallee,82,28/10/2023,35
1131,Kate Reed,74,27/02/2021,44
1132,Kathu,185,17/03/2018,30
1133,Katowice,278,01/06/2019,104
1134,Kawana,298,25/01/2014,203
1135,Kedron,438,04/03/2023,369
1136,Kędzierzyn-Koźle,179,18/02/2017,35
1137,Kei Mouth,246,20/04/2019,28
1138,Kelvin Grove,420,25/12/2020,182
1139,Kemnader See,55,22/07/2023,27
1140,Kennington Park juniors,54,07/05/2023,29
1141,Kennington Park juniors,54,21/05/2023,29
1142,Kennington Reservoir,275,15/02/2020,167
1143,Kennington Reservoir,275,22/02/2020,167
1144,Kensington,137,28/11/2019,63
1145,Kenton Rec juniors,46,16/06/2019,17
1146,Keppel,19,02/04/2022,
1147,Kerang Regional,170,18/01/2020,30
1148,Kesgrave,456,27/05/2017,169
1149,Kesgrave juniors,197,05/03/2017,50
1150,Keswick,500,01/01/2019,247
1151,Keswick juniors,85,01/08/2021,46
1152,Kettering,645,01/01/2020,
1153,Kew Woods,184,07/05/2022,95
1154,Kidds Beach,495,23/12/2017,79
1155,Kiessee,62,14/10/2023,44
1156,Kilkenny,288,21/01/2017,186
1157,Killarney House,254,01/02/2020,146
1158,Killarney House juniors,95,15/10/2023,85
1159,Killerton,510,20/04/2019,251
1160,Kilmore Racecourse Walking Track,114,10/06/2023,61
1161,Kimberley,467,28/01/2017,95
1162,King George juniors,70,05/05/2019,31
1163,King George Playing Fields juniors,29,13/03/2022,14
1164,King George V juniors,85,05/01/2020,64
1165,King George V juniors,85,26/01/2020,64
1166,King George V Playing Field,376,01/01/2020,44
1167,King George V Playing Field juniors,56,14/05/2023,37
1168,King’s Lynn,448,11/01/2020,226
1169,King’s Lynn juniors,107,19/05/2019,24
1170,Kingdom,241,11/01/2020,105
1171,Kings Weston juniors,176,19/05/2019,152
1172,Kingsbury Water,824,01/01/2020,153
1173,Kingscliff,352,01/01/2020,145
1174,Kingsgrove Woodland juniors,92,09/07/2023,
1175,Kingston,511,18/01/2020,214
1176,Kingston Park,300,15/04/2023,223
1177,"Kingston Park, Cottage Grove",46,30/09/2023,22
1178,Kingsway,427,13/05/2017,99
1179,Kirkcaldy,488,01/01/2020,200
1180,Kirkdale Reserve,165,27/05/2023,110
1181,Kirkwall,112,20/04/2019,
1182,Kirra,444,01/01/2020,199
1183,Kiwanis,49,07/03/2020,17
1184,Kleinplaas,220,26/03/2022,26
1185,Klipspringer Lodge,70,27/04/2023,24
1186,KM Reedy Reserve,348,12/01/2019,23
1187,Knavesmire juniors,157,03/07/2016,98
1188,Knockanacree Woods,129,23/03/2019,26
1189,Knockbracken Reservoir,213,12/08/2023,185
1190,Knocknacarra,212,23/01/2016,84
1191,Knowsley,216,01/01/2020,87
1192,Knysna,535,30/12/2017,157
1193,Kołobrzeg,72,06/08/2022,36
1194,Komani,386,17/02/2018,29
1195,Koonwarra,255,04/11/2017,106
1196,Kościan,108,08/09/2018,16
1197,Koster,101,18/08/2018,11
1198,Koszalin,54,24/11/2018,20
1199,Kräherwald,207,03/10/2023,38
1200,Kraków,375,16/02/2019,188
1201,Kralinbergh,241,24/11/2018,40
1202,Kralingse Bos,228,29/02/2020,82
1203,Kroonstad,334,21/10/2017,78
1204,Küchenholz,94,12/10/2019,38
1205,Kununurra,80,24/06/2023,41
1206,Kurt-Schumacher-Promenade,82,22/07/2023,38
1207,Kutno,68,02/09/2023,28
1208,Kwanele,103,29/01/2022,21
1209,la Ramée,38,04/08/2018,
1210,la Ramée,38,04/06/2022,
1211,Lac de Divonne,149,13/04/2019,
1212,Lackawanna Rail Trail,8,26/08/2023,2
1213,Ladysmith,530,04/02/2017,97
1214,Lahden satama,61,10/09/2022,13
1215,Lahnwiesen,79,07/03/2020,11
1216,Lake Boga Foreshore,124,16/01/2021,42
1217,Lake Claremont,161,26/08/2023,114
1218,Lake Joondalup,379,25/01/2020,264
1219,Lake Mac,600,14/02/2015,402
1220,Lake Meadows juniors,216,09/07/2023,
1221,Lake Wallace,107,10/12/2022,42
1222,Lake2Lake Trail,115,27/08/2022,34
1223,Lakes Entrance,254,03/02/2018,37
1224,Lakeview,310,01/01/2021,134
1225,Laleham juniors,101,15/09/2019,31
1226,Laleham juniors,101,17/09/2023,31
1227,Lalor,198,16/04/2016,36
1228,Lanark Moor,126,10/08/2019,71
1229,Lancaster,411,23/02/2019,201
1230,Lancefield,88,12/05/2018,12
1231,Lancing Beach Green,310,09/09/2023,
1232,Land’s End,222,04/01/2020,53
1233,Landesgartenschau Park,40,23/09/2023,27
1234,Langebaan,540,28/12/2019,213
1235,Lanhydrock,442,24/12/2016,145
1236,Lanseria,373,24/06/2017,25
1237,Largs Bay,299,28/10/2023,234
1238,Largs Prom,113,28/05/2022,45
1239,Larne,182,19/07/2014,62
1240,Larne juniors,86,24/01/2016,30
1241,Las Aniołowski,230,28/01/2023,67
1242,Las Dębiński,149,26/08/2023,111
1243,Las Klasztorny,35,24/06/2023,16
1244,Las Łagiewnicki,145,29/01/2022,41
1245,Lasek Marceliński,130,01/07/2023,53
1246,Latchmere Rec juniors,137,14/05/2023,102
1247,Laudium,233,08/10/2016,104
1248,Launceston,436,30/09/2023,359
1249,Lavender Mill,185,19/08/2023,131
1250,Lawson,176,07/03/2015,113
1251,Lea Bridges juniors,40,25/04/2021,8
1252,Leakin Park,66,22/02/2020,45
1253,Leamington,905,01/01/2020,264
1254,Leatherhead juniors,108,20/10/2019,35
1255,Leavesden Country,312,22/10/2022,69
1256,Leavesden juniors,146,13/01/2019,44
1257,Leazes,354,11/03/2023,226
1258,Lee-on-the-Solent,987,01/01/2020,290
1259,Lees Road,290,23/01/2016,88
1260,Leeton Sport and Recreation Precinct,69,29/05/2021,37
1261,Leeton Sport and Recreation Precinct,69,19/06/2021,37
1262,Leeupoort,136,24/03/2018,52
1263,Leicester Victoria,637,01/01/2020,380
1264,Leigh juniors,74,11/04/2021,31
1265,Leighton Buzzard juniors,93,01/09/2019,32
1266,Leinpfad,73,09/09/2023,33
1267,Les Dougnes,49,17/08/2019,
1268,Lesnes Abbey Woods juniors,66,23/06/2019,30
1269,Leszno,145,08/10/2022,54
1270,Letchworth,388,27/01/2018,54
1271,Letterkenny,268,05/10/2019,109
1272,Levengrove,278,18/01/2020,85
1273,Levengrove juniors,62,16/07/2023,39
1274,Lewis Park Reserve,234,25/12/2022,139
1275,Lews Castle,130,11/01/2020,25
1276,Leyton Jubilee juniors,81,20/01/2019,65
1277,Lichtenburg Raceway,129,09/11/2019,18
1278,Lieberwalt Farm,23,21/10/2023,14
1279,Lillie,125,04/11/2023,125
1280,Lillsjön,33,18/06/2022,9
1281,Lillydale Lake,359,29/02/2020,216
1282,Limavady,180,25/02/2017,37
1283,Limepark Playing Fields,123,06/08/2022,53
1284,Limerick,321,14/01/2017,134
1285,Lincoln,604,30/03/2019,351
1286,Linford Wood,640,01/01/2019,227
1287,Lingwood,219,01/01/2020,59
1288,Linwood,386,01/01/2020,127
1289,Lismore,220,11/03/2017,79
1290,"Lister Park, Bradford",619,20/04/2019,354
1291,Listowel,216,22/04/2017,48
1292,Lithgow,133,21/01/2017,45
1293,Little Stoke juniors,150,07/06/2015,56
1294,Little Sugar Creek Greenway,58,15/07/2023,22
1295,Little Sugar Creek Greenway,58,19/08/2023,22
1296,Littlehampton Prom,350,29/07/2023,
1297,Littleport,308,22/06/2019,86
1298,Living Colour,96,27/08/2022,29
1299,Livingston,509,12/01/2019,241
1300,Livonia,192,04/06/2022,69
1301,Llanerchaeron,214,20/04/2019,76
1302,Llanishen Park,298,18/06/2022,80
1303,Lloyd,377,18/05/2019,117
1304,Lloyd juniors,163,01/10/2023,105
1305,Llyn Llech Owain,176,25/12/2018,71
1306,Loch Leven,383,01/01/2019,66
1307,Loch Leven juniors,97,14/01/2018,18
1308,Loch Neaton,202,01/01/2020,40
1309,Lochend Woods,192,23/03/2019,72
1310,Lochiel,442,08/02/2020,303
